"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"ScheduledType";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/ScheduledType";"Specifies the scheduled payment date type requested";"OBExternalScheduleType1Code";"Arrival
Execution";"";"";"";"35"
"Reference";"0..1";"OBReadScheduledPayment2/Data/ScheduledPayment/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.";"Max35Text";"";"";"";"";"35"
"InstructedAmount";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"CreditorAgent";"0..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAgent";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account.";"OBBranchAndFinancialInstitutionIdentification5";"";"";"";"";""
"SchemeName";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification4Code";"UK.OBIE.BICFI";"";"";"";"40"
"Identification";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAgent/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";"";"35"
"CreditorAccount";"0..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAccount";"Provides the details to identify the beneficiary account.";"OBCashAccount5";"";"";"";"";""
"SchemeName";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAccount/Identification";"Beneficiary account identification.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBReadScheduledPayment2/Data/ScheduledPayment/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"OBReadStandingOrder4";"";"OBReadStandingOrder4";"";"OBReadStandingOrder4";"";"";"";"";""
"Data";"1..1";"OBReadStandingOrder4/Data";"";"OBReadDataStandingOrder4";"";"";"";"";""
"StandingOrder";"0..n";"OBReadStandingOrder4/Data/StandingOrder";"";"OBStandingOrder4";"";"";"";"";""
"AccountId";"1..1";"OBReadStandingOrder4/Data/StandingOrder/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"StandingOrderId";"0..1";"OBReadStandingOrder4/Data/StandingOrder/StandingOrderId";"A unique and immutable identifier used to identify the standing order resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"Frequency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/Frequency";"Individual Definitions:
EvryDay - Every day
EvryWorkgDay - Every working day
IntrvlWkDay - An interval specified in weeks (01 to 09), and the day within the week (01 to 07)
WkInMnthDay - A monthly interval, specifying the week of the month (01 to 05) and day within the week (01 to 07)
IntrvlMnthDay - An interval specified in months (between 01 to 06, 12, 24), specifying the day within the month (-5 to -1, 1 to 31)
QtrDay - Quarterly (either ENGLISH, SCOTTISH, or RECEIVED)
ENGLISH = Paid on the 25th March, 24th June, 29th September and 25th December. 
SCOTTISH = Paid on the 2nd February, 15th May, 1st August and 11th November.
RECEIVED = Paid on the 20th March, 19th June, 24th September and 20th December. 

Individual Patterns:
EvryDay (ScheduleCode)
EvryWorkgDay (ScheduleCode)
IntrvlWkDay:IntervalInWeeks:DayInWeek (ScheduleCode + IntervalInWeeks + DayInWeek)
WkInMnthDay:WeekInMonth:DayInWeek (ScheduleCode + WeekInMonth + DayInWeek)
IntrvlMnthDay:IntervalInMonths:DayInMonth (ScheduleCode + IntervalInMonths + DayInMonth)
QtrDay: + either (ENGLISH, SCOTTISH or RECEIVED) ScheduleCode + QuarterDay

The regular expression for this element combines five smaller versions for each permitted pattern. To aid legibility - the components are presented individually here:
EvryDay
EvryWorkgDay
IntrvlWkDay:0[1-9]:0[1-7]
WkInMnthDay:0[1-5]:0[1-7]
IntrvlMnthDay:(0[1-6]|12|24):(-0[1-5]|0[1-9]|[12][0-9]|3[01])
QtrDay:(ENGLISH|SCOTTISH|RECEIVED)

Full Regular Expression:
^(EvryDay)$|^(EvryWorkgDay)$|^(IntrvlWkDay:0[1-9]:0[1-7])$|^(WkInMnthDay:0[1-5]:0[1-7])$|^(IntrvlMnthDay:(0[1-6]|12|24):(-0[1-5]|0[1-9]|[12][0-9]|3[01]))$|^(QtrDay:(ENGLISH|SCOTTISH|RECEIVED))$";"Max35Text";"";"^(EvryDay)$|^(EvryWorkgDay)$|^(IntrvlWkDay:0[1-9]:0[1-7])$|^(WkInMnthDay:0[1-5]:0[1-7])$|^(IntrvlMnthDay:(0[1-6]|12|24):(-0[1-5]|0[1-9]|[12][0-9]|3[01]))$|^(QtrDay:(ENGLISH|SCOTTISH|RECEIVED))$";"";"";"35"
"Reference";"0..1";"OBReadStandingOrder4/Data/StandingOrder/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.";"Max35Text";"";"";"";"";"35"
"FirstPaymentDateTime";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentDateTime";"The date on which the first payment for a Standing Order schedule will be made.";"ISODateTime";"";"";"";"";""
"NextPaymentDateTime";"0..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentDateTime";"The date on which the next payment for a Standing Order schedule will be made.";"ISODateTime";"";"";"";"";""
"FinalPaymentDateTime";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentDateTime";"The date on which the final payment for a Standing Order schedule will be made.";"ISODateTime";"";"";"";"";""
"StandingOrderStatusCode";"0..1";"OBReadStandingOrder4/Data/StandingOrder/StandingOrderStatusCode";"Specifies the status of the standing order in code form.";"OBExternalStandingOrderStatus1Code";"Active
Inactive";"";"";"";"10"
"FirstPaymentAmount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentAmount";"The amount of the first Standing Order";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"NextPaymentAmount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentAmount";"The amount of the next Standing Order.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"FinalPaymentAmount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentAmount";"The amount of the final Standing Order";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"CreditorAgent";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAgent";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account.";"OBBranchAndFinancialInstitutionIdentification5";"";"";"";"";""
"SchemeName";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification4Code";"UK.OBIE.BICFI";"";"";"";"40"
"Identification";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAgent/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";"";"35"
"CreditorAccount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount";"Provides the details to identify the beneficiary account.";"OBCashAccount5";"";"";"";"";""
"SchemeName";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/Identification";"Beneficiary account identification.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"SupplementaryData";"0..1";"OBReadStandingOrder4/Data/StandingOrder/SupplementaryData";"Additional information that can not be captured in the structured fields and/or any other specific block.";"OBSupplementaryData1";"";"";"";"";""
"OBReadStatement1";"";"OBReadStatement1";"";"OBReadStatement1";"";"";"";"";""
"Data";"1..1";"OBReadStatement1/Data";"";"OBReadDataStatement1";"";"";"";"";""
"Statement";"0..n";"OBReadStatement1/Data/Statement";"Provides further details on a statement resource.";"OBStatement1";"";"";"";"";""
"AccountId";"1..1";"OBReadStatement1/Data/Statement/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"StatementId";"0..1";"OBReadStatement1/Data/Statement/StatementId";"Unique identifier for the statement resource within an servicing institution. This identifier is both unique and immutable.";"Max40Text";"";"";"";"";"40"
"StatementReference";"0..1";"OBReadStatement1/Data/Statement/StatementReference";"Unique reference for the statement. This reference may be optionally populated if available.";"Max35Text";"";"";"";"";"35"
"Type";"1..1";"OBReadStatement1/Data/Statement/Type";"Statement type, in a coded form.";"OBExternalStatementType1Code";"AccountClosure
AccountOpening
Annual
Interim
RegularPeriodic";"";"";"";"40"
"StartDateTime";"1..1";"OBReadStatement1/Data/Statement/StartDateTime";"Date and time at which the statement period starts.";"ISODateTime";"";"";"";"";""
"EndDateTime";"1..1";"OBReadStatement1/Data/Statement/EndDateTime";"Date and time at which the statement period ends.";"ISODateTime";"";"";"";"";""
"CreationDateTime";"1..1";"OBReadStatement1/Data/Statement/CreationDateTime";"Date and time at which the resource was created.";"ISODateTime";"";"";"";"";""
"StatementDescription";"0..n";"OBReadStatement1/Data/Statement/StatementDescription";"Other descriptions that may be available for the statement resource.";"Max500Text";"";"";"";"";"500"
"StatementBenefit";"0..n";"OBReadStatement1/Data/Statement/StatementBenefit";"Set of elements used to provide details of a benefit or reward amount for the statement resource.";"OBStatementBenefit1";"";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Type";"Benefit type, in a coded form.";"OBExternalStatementBenefitType1Code";"UK.OBIE.Cashback
UK.OBIE.Insurance
UK.OBIE.TravelDiscount
UK.OBIE.TravelInsurance";"";"";"";"40"
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Amount";"Amount of money associated with the statement benefit type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementBenefit/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"StatementFee";"0..n";"OBReadStatement1/Data/Statement/StatementFee";"Set of elements used to provide details of a fee for the statement resource.";"OBStatementFee1";"";"";"";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementFee/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Type";"Fee type, in a coded form.";"OBExternalStatementFeeType1Code";"UK.OBIE.Annual
UK.OBIE.BalanceTransfer
UK.OBIE.CashAdvance
UK.OBIE.CashTransaction
UK.OBIE.ForeignCashTransaction
UK.OBIE.ForeignTransaction
UK.OBIE.Gambling
UK.OBIE.LatePayment
UK.OBIE.MoneyTransfer
UK.OBIE.Monthly
UK.OBIE.Overlimit
UK.OBIE.PostalOrder
UK.OBIE.PrizeEntry
UK.OBIE.StatementCopy
UK.OBIE.Total";"";"";"";"40"
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Amount";"Amount of money associated with the statement fee type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"StatementInterest";"0..n";"OBReadStatement1/Data/Statement/StatementInterest";"Set of elements used to provide details of a generic interest amount related to the statement resource.";"OBStatementInterest1";"";"";"";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Type";"Interest amount type, in a coded form.";"OBExternalStatementInterestType1Code";"UK.OBIE.BalanceTransfer
UK.OBIE.Cash
UK.OBIE.EstimatedNext
UK.OBIE.Purchase
UK.OBIE.Total";"";"";"";"40"
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Amount";"Amount of money associated with the statement interest amount type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"StatementAmount";"0..n";"OBReadStatement1/Data/Statement/StatementAmount";"Set of elements used to provide details of a generic amount for the statement resource.";"OBStatementAmount1";"";"";"";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Type";"Amount type, in a coded form.";"OBExternalStatementAmountType1Code";"UK.OBIE.ArrearsClosingBalance
UK.OBIE.AvailableBalance
UK.OBIE.AverageBalanceWhenInCredit
UK.OBIE.AverageBalanceWhenInDebit
UK.OBIE.AverageDailyBalance
UK.OBIE.BalanceTransferClosingBalance
UK.OBIE.CashClosingBalance
UK.OBIE.ClosingBalance
UK.OBIE.CreditLimit
UK.OBIE.CurrentPayment
UK.OBIE.DirectDebitPaymentDue
UK.OBIE.FSCSInsurance
UK.OBIE.MinimumPaymentDue
UK.OBIE.PendingTransactionsBalance
UK.OBIE.PreviousClosingBalance
UK.OBIE.PreviousPayment
UK.OBIE.PurchaseClosingBalance
UK.OBIE.StartingBalance
UK.OBIE.TotalAdjustments
UK.OBIE.TotalCashAdvances
UK.OBIE.TotalCharges
UK.OBIE.TotalCredits
UK.OBIE.TotalDebits
UK.OBIE.TotalPurchases";"";"";"";"40"
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Amount";"Amount of money associated with the amount type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"StatementDateTime";"0..n";"OBReadStatement1/Data/Statement/StatementDateTime";"Set of elements used to provide details of a generic date time for the statement resource.";"OBStatementDateTime1";"";"";"";"";""
"DateTime";"1..1";"OBReadStatement1/Data/Statement/StatementDateTime/DateTime";"Date and time associated with the date time type.";"ISODateTime";"";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementDateTime/Type";"Date time type, in a coded form.";"OBExternalStatementDateTimeType1Code";"UK.OBIE.BalanceTransferPromoEnd
UK.OBIE.DirectDebitDue
UK.OBIE.LastPayment
UK.OBIE.LastStatement
UK.OBIE.NextStatement
UK.OBIE.PaymentDue
UK.OBIE.PurchasePromoEnd
UK.OBIE.StatementAvailable";"";"";"";"40"
"StatementRate";"0..n";"OBReadStatement1/Data/Statement/StatementRate";"Set of elements used to provide details of a generic rate related to the statement resource.";"OBStatementRate1";"";"";"";"";""
"Rate";"1..1";"OBReadStatement1/Data/Statement/StatementRate/Rate";"Rate associated with the statement rate type.";"Max10Text";"";"^(-?\d{1,3}){1}(\.\d{1,4}){0,1}$";"";"";"10"
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementRate/Type";"Statement rate type, in a coded form.";"OBExternalStatementRateType1Code";"UK.OBIE.AnnualBalanceTransfer
UK.OBIE.AnnualBalanceTransferAfterPromo
UK.OBIE.AnnualBalanceTransferPromo
UK.OBIE.AnnualCash
UK.OBIE.AnnualPurchase
UK.OBIE.AnnualPurchaseAfterPromo
UK.OBIE.AnnualPurchasePromo
UK.OBIE.MonthlyBalanceTransfer
UK.OBIE.MonthlyCash
UK.OBIE.MonthlyPurchase";"";"";"";"40"
"StatementValue";"0..n";"OBReadStatement1/Data/Statement/StatementValue";"Set of elements used to provide details of a generic number value related to the statement resource.";"OBStatementValue1";"";"";"";"";""
"Value";"1..1";"OBReadStatement1/Data/Statement/StatementValue/Value";"Value associated with the statement value type.";"Number";"";"";"18";"0";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementValue/Type";"Statement value type, in a coded form.";"OBExternalStatementValueType1Code";"UK.OBIE.AirMilesPoints
UK.OBIE.AirMilesPointsBalance
UK.OBIE.Credits
UK.OBIE.Debits
UK.OBIE.HotelPoints
UK.OBIE.HotelPointsBalance
UK.OBIE.RetailShoppingPoints
UK.OBIE.RetailShoppingPointsBalance";"";"";"";"40"
"OBReadTransaction4";"";"OBReadTransaction4";"";"OBReadTransaction4";"";"";"";"";""
"Data";"1..1";"OBReadTransaction4/Data";"";"OBReadDataTransaction4";"";"";"";"";""
"Transaction";"0..n";"OBReadTransaction4/Data/Transaction";"Provides further details on an entry in the report.";"OBTransaction4";"";"";"";"";""
"AccountId";"1..1";"OBReadTransaction4/Data/Transaction/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"TransactionId";"0..1";"OBReadTransaction4/Data/Transaction/TransactionId";"Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.";"Max40Text";"";"";"";"";"40"
"TransactionReference";"0..1";"OBReadTransaction4/Data/Transaction/TransactionReference";"Unique reference for the transaction. This reference is optionally populated, and may as an example be the FPID in the Faster Payments context.";"Max35Text";"";"";"";"";"35"
"StatementReference";"0..n";"OBReadTransaction4/Data/Transaction/StatementReference";"Unique reference for the statement. This reference may be optionally populated if available.";"Max35Text";"";"";"";"";"35"
"CreditDebitIndicator";"1..1";"OBReadTransaction4/Data/Transaction/CreditDebitIndicator";"Indicates whether the transaction is a credit or a debit entry.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Status";"1..1";"OBReadTransaction4/Data/Transaction/Status";"Status of a transaction entry on the books of the account servicer.";"OBEntryStatus1Code";"Booked
Pending";"";"";"";""
"BookingDateTime";"1..1";"OBReadTransaction4/Data/Transaction/BookingDateTime";"Date and time when a transaction entry is posted to an account on the account servicer's books.

Usage: Booking date is the expected booking date, unless the status is booked, in which case it is the actual booking date.";"ISODateTime";"";"";"";"";""
"ValueDateTime";"0..1";"OBReadTransaction4/Data/Transaction/ValueDateTime";"Date and time at which assets become available to the account owner in case of a credit entry, or cease to be available to the account owner in case of a debit transaction entry.
Usage: If transaction entry status is pending and value date is present, then the value date refers to an expected/requested value date.
For transaction entries subject to availability/float and for which availability information is provided, the value date must not be used. In this case the availability component identifies the number of availability days.";"ISODateTime";"";"";"";"";""
"TransactionInformation";"0..1";"OBReadTransaction4/Data/Transaction/TransactionInformation";"Further details of the transaction. 
This is the transaction narrative, which is unstructured text.";"Max500Text";"";"";"";"";"500"
"AddressLine";"0..1";"OBReadTransaction4/Data/Transaction/AddressLine";"Information that locates and identifies a specific address for a transaction entry, that is presented in free format text.";"Max70Text";"";"";"";"";"70"
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/Amount";"Amount of money in the cash transaction entry.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadTransaction4/Data/Transaction/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"ChargeAmount";"0..1";"OBReadTransaction4/Data/Transaction/ChargeAmount";"Transaction charges to be paid by the charge bearer.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/ChargeAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadTransaction4/Data/Transaction/ChargeAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"CurrencyExchange";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange";"Set of elements used to provide details on the currency exchange.";"OBCurrencyExchange5";"";"";"";"";""
"SourceCurrency";"1..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/SourceCurrency";"Currency from which an amount is to be converted in a currency conversion.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"TargetCurrency";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/TargetCurrency";"Currency into which an amount is to be converted in a currency conversion.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"UnitCurrency";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/UnitCurrency";"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
